startDate,endDate,name,investor_id,position,id
,,Crystal,10374,Stream清流资本 投资经理,655
,,腾讯,10374,,656
,,Google,10375,CEO&联合创始人,657
,,Google,10375,,658
,,Google,10376,联合创始人,659
,,Google,10376,,660
,,奇虎360,10377,投资经理(已离职),661
,,创新工场,10377,投资经理,662
,,厚朴基金,10378,创始人,663
,,中金公司CICC ,10378,,664
,, 高盛,10378,,665
,,东方华盖创投,10379,总经理,666
,,梅花天使创投/吴世春,10380,创始合伙人,667
,,百度 ,10380,,668
,, 华为 ,10380,,669
,, 酷讯,10380,,670
,,东方元鼎资本,10381,合伙人,671
,,华为,10381,,672
,,普华资本,10382,创始合伙人,673
,,普华资本,10383,合伙人,674
,,普华资本,10384,合伙人,675
,,远望谷,10385,高级副总裁,676
,,International,10386,Finance Corporation Vice President,677
,,International,10387,Finance Corporation Vice President,678
,,麦肯锡,10387,,679
,,International,10388,Finance Corporation Vice President,680
,,Cisco,10389,David Bernstein,681
,,Cisco,10390,Program Manager & Business Development Manager,682
,,SJF,10391,Ventures Founder and Managing Director,683
,,SJF,10392,Ventures Managing Director,684
,,SJF,10393,Ventures Managing Director,685
,,Apple,10394,CEO & Board Director,686
,,苹果,10394,,687
,,真格基金,10395,投资总监,688
,,新东方,10395,,689
,,华兴资本,10396,创始人,690
,,瑞士信贷 ,10396,,691
,, 亚信联创 ,10396,,692
,, 摩根斯坦利,10396,,693
,,博润投资,10397,执行董事,694
,,博润投资,10398,董事长兼总裁,695
,,怡和创投/怡和联创,10399,董事长,696
,,IBM,10399,,697
,,北京创客空间,10400,联合创始人,698
,,常春藤资本Ivy,10401,Capital 创始合伙人,699
,,中大投资管理公司 ,10401,,700
,, 上海保银投资有限公司,10401,,701
,,常春藤资本Ivy,10402,Capital 创始合伙人,702
,,CIGNA Corporation ,10402,,703
,, Pond Ventures ,10402,,704
,, 格科微电子 ,10402,,705
,, 德可半导体公司,10402,,706
,,常春藤资本Ivy,10403,Capital 创始合伙人,707
,,中信证劵 ,10403,,708
,, 本见投资（北京）有限公司 ,10403,,709
,, 博奥生物 ,10403,,710
,, 同方股份投资,10403,,711
,,常春藤资本Ivy,10404,Capital 投资合伙人,712
,,宝洁 ,10404,,713
,, 杉杉集团 ,10404,,714
,, 中科廊坊科技谷,10404,,715
,,常春藤资本Ivy,10405,Capital 创始合伙人,716
,,中大投资管理公司 ,10405,,717
,, 上海东车机车车辆销售租赁有限公司,10405,,718
,,常春藤资本Ivy,10406,Capital 合伙人,719
,,日本阔利达株式会社 ,10406,,720
,, 上海优迈信息技术有限公司 ,10406,,721
,, 上海汉世纪投资管理有限公司,10406,,722
,,德福资本GL,10407,Captal 创始人,723
,,九合创投,10408,投资经理,724
,,五岳天下资本,10409,投资总监,725
,,JJ比赛/竞技世界,10410,合伙人,726
,,JJ比赛/竞技世界,10411,副总裁,727
,,北京华山投资,10412,执行合伙人,728
,,北京华山投资,10413,合伙人,729
,,北京华山投资,10414,合伙人,730
,,北京华山投资,10415,首席投资官,731
,,雷雨资本,10416,创始合伙人,732
,,中科招商,10417,董事长,733
,,中科招商,10417,,734
,,普思投资,10418,董事长,735
,,万达集团,10418,,736
,,普思投资,10419,董事总经理,737
,,祥峰投资 ,10419,,738
,, 安永,10419,,739
,,宁波君润资本,10420,副总裁,740
,,创东方投资,10421,投资总监(已离职),741
,,老鹰基金EaglesFund,10422,创始人,742
,,秉鸿资本,10423,创始合伙人,743
,,深圳创新投,10423,,744
,,开物投资,10424,主管合伙人,745
,,新浪 ,10424,,746
,, 苹果 ,10424,,747
,, 飞利浦 ,10424,,748
,, 北极光创投,10424,,749
,,开物投资,10425,合伙人,750
,,鼎晟天平投资,10426,董事长,751
,,游心旅行,10426,创始人,752
,,鼎晟天平投资,10427,总裁,753
,,三井物产环球投资/三井创投MGI,10428,投资副总监,754
,,三星,10428,,755
,,三井物产环球投资/三井创投MGI,10429,首席代表,756
,,三井物产环球投资/三井创投MGI,10430,投资副总监,757
,,高盛,10430,,758
