id,name,position,brief,investStart,investCount,investNextPhase,investQuit,investPhases,investLimit,investPlan,focusIntustry,city
99,林均全,新进创投 • 高级投资经理,曾投资：107间，闻题鸟，Histarter 。,2013,70,25,,种子轮/天使轮、Pre-A 轮,50W - 1000W 人民币,50 个,O2O、消费互联网、金融、文创、医疗健康,上海
100,左健,海捷投资 • 合伙人,曾投资：上海庆科，乐奇足球 ，博合智慧。,1997,44,35,,种子轮/天使轮、Pre-A 轮,300W - 2000W 人民币,20 个,人工智能、互联网金融、物联网、智能硬件,北京、上海、广州、深圳
101,吴运龙,零一资本 • 创始合伙人,曾投资找钢网、A8。 寻找“10亿美金”idea,2015,35,25,5,Pre-A 轮、A 轮,300W - 2000W 人民币,10 个,撮合交易平台、工具软件、娱乐,北京、深圳、杭州
102,陆宏宇,德同资本 • 合伙人,曾投资：节操精选、影谱科技。,2012,10,8,2,种子轮/天使轮、Pre-A 轮、A 轮、B 轮、C 轮、D 轮、D 轮以上,200W - 10000W 人民币,10 个,新媒体、金融、广告、社交、撮合交易平台,北京、上海、广州、深圳、杭州、成都
103,段斌,乐游资本 • 创始合伙人,曾投资：鲜榨喜剧、Seneoro、百彩嘉、中捷代购。,2010,11,7,,种子轮/天使轮,50W - 500W 人民币,10 个,动漫、新内容生态、娱乐、新媒体、手游,北京、上海
104,李潇,愉悦资本/Joy capital • 创始合伙人,曾投资：途虎养车、车轮、铜板街、牛股王、小猪、优客逸家、天神互动、乐逗、乐动卓越、新银河等,2011,18,12,3,种子轮/天使轮、Pre-A 轮、A 轮、B 轮,800W - 20000W 人民币,5 个,海外市场、消费互联网、O2O、分享经济,北京
105,潘汉彬,盈动投资 • 投资总监,曾投资：康众汽配、贝登科技,2013,5,2,,种子轮/天使轮、Pre-A 轮、A 轮,50W - 3000W 人民币,5 个,汽车、大数据、企业级应用/服务、B2B、O2O,杭州、其他
106,胡海清,浅石创投 • 合伙人,曾投资：博纳影业、爱康国宾、理邦仪器、科锐国际、果麦文化、卓正医疗、好牙医。,2007,15,15,3,种子轮/天使轮、Pre-A 轮、A 轮,100W - 1500W 人民币,10 个,O2O,北京、上海、广州、深圳、杭州
107,陈悦天,创新工场 • 投资总监,曾投资：Fork叉子相机、SNH48、翻翻动漫、绘梦文化、半次元、橙光66RPG、墨明棋妙等。,2013,23,6,,Pre-A 轮、A 轮,600W - 3000W 人民币,10 个,新媒体、文创、娱乐、新内容生态、VR,北京、上海
108,梁维弘,熊猫资本 • 创始合伙人,曾投资：天天动听，爱回收，小马购车。,2009,16,10,1,种子轮/天使轮、Pre-A 轮、A 轮,300W - 3000W 人民币,5 个,互联网金融、医疗健康、汽车、O2O、地产,北京、上海、杭州
109,曹毅,源码资本 • 创始合伙人,曾投资：美丽说、大姨吗、PP租车、今日头条等。,2007,40,30,,种子轮/天使轮、A 轮,500W - 5000W 人民币,15 个,互联网金融、汽车、消费升级、撮合交易平台、社交、O2O、内容聚合、商业智能/BI,北京、上海、深圳
