phase,investor_id,brief,name,id
已完成 A 轮融资,40,手机软件资讯及下载服务网站，深圳泡椒思志信息技术有限公司(泡椒网)旗下。,泡椒网,108
已完成 A 轮融资,40,看看是深圳有图科技有限公司旗下产品，中国首家客厅娱乐服务平台。看看提供电视应用统计分析、电视游戏统计分析、电视应用商店统计分析、电视外设设备统计分析等SDK平台，同时提供社交分享、TV端支付、热更新、TV广告联盟等一揽子客厅娱乐解决方案。,看看,109
已完成 A 轮融资,40,由回国留学生及国内风险投资机构共同设立的生物高科技公司，致力于创新生物诊断试剂研发。,赛格诺基因,110
已完成天使轮融资,40,"创新互联网金融服务平台,由斯坦福大学毕业团队创立。",信用宝,111
已完成 A 轮融资,41,一家综合性的金融资产交易相关服务及投资理财服务平台，中国平安集团旗下金融服务。,陆金所,112
已被并购,42,北京天马时空网络是一家手机游戏和网页游戏公司，2013年前以研发WebGame为主，研发过3款WebGame产品，代表作品是传奇类页游《怒斩》；2013年年中开始转向基于Unity3D的重度ARPG手游研发，主打产品为《全民奇迹》。,天马时空,113
已完成 A 轮融资,43,漫画卡通形象制作应用，让用户可以拼出好玩的卡通头像等, MYOTee脸萌,114
已完成 A 轮融资,43,类kickstarter众筹模式网站，隶属于上海追梦网络科技有限公司。,追梦网,115
已完成 A 轮融资,44,基于LBS的校园生活服务平台，采用“楼长代理模式”，5分钟货上门。,宅米,116
已完成 A 轮融资,44,第三方转运物流服务商，为海淘提供物流解决方案。,笨鸟海淘,117
已完成 B 轮融资,45,一款基于“众包”模式的B2C任务对接平台，让用户可以参加任务或体验、获取奖励并赚钱。,微差事,118
已完成 B 轮融资,45,同志交友手机软件。,淡蓝网Blued,119
已完成 B 轮融资,45,在线外卖订餐服务平台，提供供订位、订餐、支付、配送等一站式服务，旗下产品包括：面对B端餐饮商户的聚网客和E代送；面向C端用户的易淘食外卖。,易淘食,120
已完成 A 轮融资,45,一家专业的火锅品类外送服务平台，为消费者提供火锅相关产品及多场景体验式服务。,来一火,121
已完成 A 轮融资,46,分享科技与设计产品的社区电商平台,KnewOne,122
已完成 A 轮融资,46,为线下门店提供客流访问统计和分析服务，解决实体店客流统计问题的产品,每人计,123
已完成 D 轮以上融资,47,大众点评网是一家本地生活消费平台及O2O服务商，通过网站、APP等为用户提供各类生活服务和团购等，隶属于上海汉涛信息咨询有限公司。,大众点评,124
已完成 C 轮融资,47,中国最大商用Wi-Fi方案和服务商。,迈外迪,125
已完成 A 轮融资,47,EMIE亿觅创意网是一个设计师众包社区，基于众筹和众包、让设计师作品从创意变成现实产品，深圳亿觅科技有限公司旗下，产品有能量刀锋移动电源等。,亿觅,126
已完成 B 轮融资,48,房多多是一家房地产整合营销服务平台，致力开创线上信息流、线下业务流无缝整合，提供手机房多多、B2C地产网站、房多多业务管理系统等，深圳市房多多网络科技有限公司旗下。,房多多,127
已完成天使轮融资,49,新银河是一家手机游戏发行及渠道服务商，专注于移动游戏联运平台和手游的研发、运营，团队主要成员都来自360、搜狐、MTK等公司。,新银河,128
已完成天使轮融资,49,微播APP是一个主打真人视频直播的移动交友社区，用户在这里可以直播一切所闻所见。重庆红诺科技有限公司旗下产品。,微播,129
已完成天使轮融资,49,音米inmix眼镜，是明通四季旗下拥有国内领先的潮流眼镜品牌。,音米,130
已完成 A 轮融资,50,移动手机游戏研发公司。,甜瓜在线,131
