investDate,participant,name,latestPhase,industry,brief,investor_id,kr_id,amount,phase,kr_group_id,amountUnit,id
1430409600000,好未来教育科技集团,小伴龙,B,EDUCATION_TRAINING,小伴龙，伙伴式早教第一品牌，陪伴孩子成长的小伙伴，适合0-8岁儿童。,725,7056,,B,5358,CNY,1027
1435680000000,"好未来教育科技集团,联想之星",作业盒子,A,EDUCATION_TRAINING,K12师生在线作业互动平台,725,7056,1000,A,133211,USD,1028
1435680000000,未来工场,画啦啦,ANGEL,EDUCATION_TRAINING,少儿美术在线教育,725,7056,,ANGEL,154840,CNY,1029
1438358400000,合一天使基金,海欧,ANGEL,OTHER,专注于欧洲生活用品的B2C跨境电商,724,7347,,ANGEL,159958,USD,1030
1435680000000,,车易行网络科技,NONE,AUTO,汽车服务领域的互联网公司，机场车管家服务。,724,7347,,ANGEL,146373,USD,1031
1435680000000,,宜生到家,ANGEL,CONSUMER_LIFESTYLE,提供中医调理、保健按摩两方面的上门服务的网站,724,7347,,,141327,USD,1032
1435680000000,合一天使基金,快看游戏,ANGEL,GAME_ANIMATION,快看游戏是一个以移动端为主的游戏视频分享平台。,724,7347,,ANGEL,148547,USD,1033
1433088000000,"洪泰基金,合一天使基金,洪泰成都",学姐帮,ANGEL,EDUCATION_TRAINING,上大学，问学姐,724,7347,数百万,ANGEL,146282,CNY,1034
1430409600000,合一天使基金,索闻博识,ANGEL,OTHER,移动医疗,724,7347,500,ANGEL,155279,CNY,1035
1435680000000,合一天使基金,上学帮,ANGEL,EDUCATION_TRAINING,择校利器,724,7347,数百万,ANGEL,155280,CNY,1036
1427817600000,"合一天使基金,安思晟,北软天使基金",找我网,ANGEL,CONSUMER_LIFESTYLE,婚礼主持人在线预约平台,724,7347,,ANGEL,31501,USD,1037
1420041600000,"英诺天使基金,洪泰基金",人人湘,A,CONSUMER_LIFESTYLE,应用互联网思维的米粉餐饮品牌,723,7460,数百万,ANGEL,141460,CNY,1038
,,在校生,NONE,,大学生生活服务平台,723,7460,,,148263,,1039
1401552000000,"英诺天使基金,北软天使基金",调果师,A,CONSUMER_LIFESTYLE,主打鲜榨果汁的O2O服务商,723,7460,300,ANGEL,141328,CNY,1040
1422720000000,迭代资本,哪好玩APP,ANGEL,TRAVEL_OUTDOORS,为用户精选推荐旅游产品和资讯并提供在线购买,721,7803,300,ANGEL,141133,CNY,1041
1422720000000,迭代资本,健身坊,ANGEL,CULTURE_SPORTS_ART,主打私人健身交流服务的移动平台,721,7803,200,ANGEL,141949,CNY,1042
1412092800000,,TuSDK涂图,PRE_A,SERVICE_INDUSTRIES,移动端的一站式图像解决方案,721,7803,100,,142482,CNY,1043
1398873600000,盈动投资,别样红云PMS,A,SERVICE_INDUSTRIES,酒店管理服务方案提供商,721,7803,900,PRE_A,29728,CNY,1044
,,哪好玩,ANGEL,,帮助用户发现哪里好玩,721,7803,,,133862,,1045
1417363200000,盈动投资,橙牛违章管家,A,AUTO,汽车违章查询工具,721,7803,,ANGEL,132365,USD,1046
,,JUJU,ANGEL,GAME_ANIMATION,服务于二次元的社交APP,722,7599,,,136953,,1047
1420041600000,华创资本,别样红云PMS,A,SERVICE_INDUSTRIES,酒店管理服务方案提供商,722,7599,6000,A,29728,CNY,1048
1435680000000,,全州印象（安厨网络科技）,ANGEL,CONSUMER_LIFESTYLE,移动互联网自营外卖平台，一个外卖版的“京东”,718,8210,,ANGEL,157878,USD,1049
,,旅行派,A,TRAVEL_OUTDOORS,专门为自由行用户量身打造个性化旅游攻略,710,3512,,,28197,,1050
1412092800000,五岳天下,丸子地球,A,TRAVEL_OUTDOORS,出境旅行私人定制的旅游网站,710,3512,,ANGEL,7495,USD,1051
1412092800000,五岳天下,麦子学院,A,EDUCATION_TRAINING,移动技术高端在线教育网站,710,3512,,ANGEL,6759,USD,1052
1325347200000,五岳天下,TalkingData,B,SERVICE_INDUSTRIES,TalkingData是专注于移动互联网综合数据服务的创业公司，拥有多条数据服务产品线，服务内容从基,710,3512,,PRE_A,26328,USD,1053
1433088000000,成为资本,甭纠结,A,SOCIAL_NETWORK,投票类娱乐应用,709,3695,,A,137156,USD,1054
1401552000000,"纪源资本,成为资本,高瓴资本,IDG资本",追光动画,B,GAME_ANIMATION,动画电影、动画作品制造公司,709,3695,2000,B,12074,USD,1055
1391184000000,银泰资本,积木盒子,C,FINANCE,为中小企业及个人解决融资和贷款需求的互联网金融平台,708,3875,千万级,A,19994,USD,1056
1409500800000,"君联资本,IDG资本,华创资本,永宣创投",铜板街,B,FINANCE,手机上的理财产品交易平台,702,4908,5000,B,11978,USD,1057
1425139200000,"宽带资本,永宣创投,九合创投",51社保,A,SERVICE_INDUSTRIES,社保专业网站，是社保实务品牌,702,4908,数千万,A,141221,CNY,1058
1417363200000,"和玉投资,策源创投,永宣创投",GitCafe,PRE_A,SOFTWARE,一个基于代码托管服务打造的技术协作与分享平台。,702,4908,千万级,PRE_A,5330,CNY,1059
,,一见,NONE,EDUCATION_TRAINING,一见是连接男人社区的入口，以恋爱为切入点，连接社交和潮流。,702,4908,,,139227,,1060
1406822400000,,任务兔,ANGEL,SERVICE_INDUSTRIES,亚洲最大的本地职业技能共享服务平台,706,4068,数百万,ANGEL,34905,CNY,1061
1422720000000,,惠金天下,A,FINANCE,专注P2B的互联网金融公司,706,4068,,ANGEL,132322,USD,1062
1414771200000,,门口头,ANGEL,CONSUMER_LIFESTYLE,校园生活服务平台,706,4068,,ANGEL,132323,USD,1063
1422720000000,,速派得,A,AUTO,提供同城货物物流的初创公司,701,4926,,A,142524,CNY,1064
1412092800000,高榕资本,爱大厨,A,CONSUMER_LIFESTYLE,基于地理位置、提供预约厨师上门服务的移动平台,701,4926,,PRE_A,28304,USD,1065
,,快的打车，蘑菇街，决胜网，传课等,NONE,,原金山执行董事兼CFO,699,5002,,,135120,,1066
1354291200000,阿米巴资本,快的打车,ACQUIRED,AUTO,为打车乘客和出租司机量身定做的便民打车应用,699,5002,数百万,ANGEL,5085,CNY,1067
1301587200000,阿米巴资本,蘑菇街,D,E_COMMERCE,女性消费者导购电子商务网站,699,5002,,ANGEL,2293,USD,1068
1375286400000,"阿米巴资本,梁隽樟",决胜网,B,EDUCATION_TRAINING,一站式教育产品和服务信息平台,699,5002,,ANGEL,10358,USD,1069
1417363200000,阿米巴资本,火辣健身,A,MEDICAL_HEALTH,一个线上健身平台，提供线上课程和线下场地预定服务,699,5002,,ANGEL,135185,USD,1070
1393603200000,阿米巴资本,tataUFO,A,SOCIAL_NETWORK,针对高校学生的在线交友平台,699,5002,,ANGEL,6914,USD,1071
1325347200000,"红杉资本,盈动投资",慧达驿站,B,SERVICE_INDUSTRIES,面向酒店行业的IT解决方案服务商和酒店数字客房服务商,700,4986,5000,A,4951,CNY,1072
1385827200000,盈动投资,晨晓科技,A,SERVICE_INDUSTRIES,为通信公司、系统集成商提供OEM产品供货和ODM产品设计的服务商,700,4986,,PRE_A,27527,USD,1073
1383235200000,盈动投资,51信用卡,B,FINANCE,基于商户和用户行为的大数据为生活服务O2O业务提供数据和平台服务,700,4986,,PRE_A,2214,USD,1074
1414771200000,盈动投资,每人计,PRE_A,SERVICE_INDUSTRIES,线下实体门店的数据魔方,700,4986,数百万,ANGEL,31490,CNY,1075
1420041600000,盈动投资,WildDog野狗,ANGEL,SERVICE_INDUSTRIES,WildDog野狗是硬件开发者服务平台。,700,4986,,ANGEL,131663,USD,1076
,,开始众筹,PRE_A,FINANCE,生活方式众筹,700,4986,,,132369,,1077
1385827200000,盈动投资,Bong健康手环/攻壳科技,ANGEL,INTELLIGENT_HARDWARE,一款软硬件结合的健康手环品牌，完整记录用户一天的运动情况、睡眠等。,700,4986,数百万,ANGEL,21027,CNY,1078
,,别样红云PMS,A,SERVICE_INDUSTRIES,酒店管理服务方案提供商,700,4986,,,29728,,1079
1417363200000,盈动投资,橙牛违章管家,A,AUTO,汽车违章查询工具,700,4986,,ANGEL,132365,USD,1080
1351699200000,"盈动投资,基本粒子投资",WiTown智能WiFi营销系统,A,SERVICE_INDUSTRIES,企业Wi-Fi系统提供商,700,4986,数百万,ANGEL,11389,CNY,1081
1433088000000,经纬中国,全城热炼,A,CULTURE_SPORTS_ART,健身馆O2O对接平台,698,5021,,A,141353,USD,1082
1425139200000,险峰华兴,企查查,ANGEL,OTHER,企业信用查询,697,5055,数百,ANGEL,149202,CNY,1083
1414771200000,险峰华兴,拓实医疗,A,MEDICAL_HEALTH,面向企业医疗服务平台,697,5055,数百,ANGEL,132974,CNY,1084
1401552000000,先睿投资,出发吧,ANGEL,TRAVEL_OUTDOORS,旅行计划App,697,5055,数百,ANGEL,14260,CNY,1085
1298908800000,上海承树投资管理有限公司,万集科技,A,NON_TMT,智能交通硬件企业,696,5070,,A,132382,CNY,1086
1406822400000,"达晨创投,中路资本",爱尚鲜花网,D,E_COMMERCE,在线鲜花预订配送网站，全国几千家配送店就近送花上门,695,5481,,A,2910,CNY,1087
1406822400000,达晨创投,他趣,A,E_COMMERCE,中国最大的两性用品垂直电商及社区,695,5481,1500,A,133731,CNY,1088
1417363200000,"北极光创投,达晨创投",爬爬步步,PRE_A,CONSUMER_LIFESTYLE,创意手工糖果品牌，中国轻奢糖果第一品牌。,695,5481,,PRE_A,131872,USD,1089
1364745600000,,小样儿,ANGEL,CULTURE_SPORTS_ART,小样儿是一个手机上的音乐协作创作软件及音乐人私密社交APP。,690,546,40,ANGEL,28543,USD,1090
1404144000000,戈壁投资,夹克的虾,ANGEL,E_COMMERCE,小龙虾外卖,690,546,20,ANGEL,131629,USD,1091
1370016000000,联想之星,好买衣,A,OTHER,一个可以网上试衣的平台,3,102249,,ANGEL,139861,USD,1132
1393603200000,联想之星,账贷通,A,FINANCE,致力于为企业打造流动资金管理解决方案的信息化金融服务提供商,3,102249,千万级,ANGEL,27453,CNY,1133
1401552000000,联想之星,有壹手,B,AUTO,汽车O2O维修服务提供商,3,102249,,ANGEL,137154,USD,1134
1401552000000,,点心贷,NONE,,专注于地产消费信贷的P2P网贷公司,686,700,50,ANGEL,137315,CNY,1155
